name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
noquote	3412	4686	2355100	0.738	0.649	NA	1.449	24.93	58719.26	16.76	11.565	17.21	10	402.36	5
quote	3525	4707	2378300	0.753	0.672	NA	1.482	25.24	60038.07	17.21	11.611	17.032	10	500	5
