name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Capitalized	1346	2572	1303400	0.569	0.396	0.656	1.033	12.73	16597.19	9	8.718	12.331	5	500	3
Lowercase	1242	2422	1300300	0.597	0.384	0.641	0.955	11.22	14594.19	8.03	8.412	11.751	5	100	3
