"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_1127_clr2","Goldenrod",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1127_clr2gd_enYY.png",NA,NA,"B13_1127_clr2"
"B13_1127_clr2","Blue.Rainbow",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1127_clr2bl_enYY.png",NA,NA,"B13_1127_clr2"
