name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Blue.Rainbow	2225	4001	2400600	0.637	0.417	0.652	0.927	12.57	30167.29	8.27	8.923	13.558	5	1000	3
Goldenrod	2258	4110	2384100	0.638	0.4	0.65	0.947	13.16	31377.29	9.05	9.553	13.896	8.09	473.35	3
