name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Coffee	7753	20245	10678600	NA	0.291	NA	0.726	10.14	108280.09	7.08	9.75	13.966	7.75	392.46	100
Three	9122	23721	10687900	NA	0.3	NA	0.854	10.2	108978.33	7.29	8.537	11.947	6.52	1301.8	100
