name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
iwa	100	141	334800	NA	0.53	NA	0.299	5.41	1810	3.75	12.55	18.1	10	100	5
iwf	2	7	323600	NA	0	NA	0.006	0.09	30	0.08	12.5	15	15	25	25
