name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Control	2001	3011	3055400	0.708	0.512	0.766	0.655	9.03	27579.39	6.37	9.729	13.783	5	1000	3
How.much.did.you.learn.from.Wikipedia.this.year?	1936	2976	3080000	0.686	0.523	0.73	0.629	8.4	25873.1	6.24	9.935	13.364	9.04	150	3
