name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
All.text.in.black	15653	42724	47504100	NA	0.352	0.55	0.33	4.29	203980.68	2.98	9.032	13.031	6.84	2576	100
Key.phrase.in.blue	16097	42482	47572400	0.333	0.36	0.589	0.338	4.09	194517.52	2.94	8.698	12.084	6.61	1500	100
