name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
$3	3268	5380	3963600	0.693	0.489	0.717	0.824	11.28	44717.19	8.11	9.841	13.683	8.18	1500	3
$3.right.now	2971	5195	3985500	0.643	0.478	0.669	0.746	10.55	42056.32	7.54	10.109	14.156	8.18	300	3
