name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
"Second.column.text.:""if.everyone.reading.this.gave.$10"""	2978	3934	2564700	0.71	0.694	NA	1.161	20.93	53683.49	13.97	12.031	18.027	10	1000	10
"Second.column.text:.""if.everyone.reading.this.gave.$5"""	3245	4320	2536400	0.743	0.662	NA	1.279	18.7	47426.24	13.3	10.393	14.615	10	200	5
