name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
WMFJA022	63	120	7056	NA	0.457	NA	8.929	272.11	1920	161.56	18.095	30.476	20	150	20
WMFJA023	60	113	6957	NA	0.365	NA	8.624	249.68	1737	151.21	17.533	28.95	20	250	20
