name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
A	323	456	17284	NA	0.562	NA	18.688	367.87	6358.27	257.36	13.772	19.685	20	150	20
B	293	452	17619	NA	0.54	NA	16.63	396.19	6980.5	241.19	14.503	23.824	20	500	20
