name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
best.of.2012	64	127	324000	NA	0.407	0.674	0.198	2.24	726	1.98	10.016	11.344	5	50	5
best.of.2013.(so.far)	370	705	327600	0.486	0.449	0.667	1.129	12.7	4162	9.22	8.168	11.249	5	100	3
