name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Ask.box.scrolls.down.with.you	73	160	372800	0.367	NA	0.51	0.196	2.4	895	2.13	10.89	12.26	10	30	5
Ask.box.stays.ontop.of.page	18	41	371700	0.454	NA	0.433	0.048	0.58	215	0.47	9.722	11.944	7.5	30	5
