"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_0930_mobile","Ask.box.scrolls.down.with.you",NA,"http://i.imgur.com/O4MJVuw.png",NA,NA,"B13_0930_mobile"
"B13_0930_mobile","Ask.box.stays.ontop.of.page",NA,"http://i.imgur.com/SrbrUaX.png",NA,NA,"B13_0930_mobile"
