name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Cntrl	2559	20469	47440400	NA	0.115	0.17	0.054	0.72	33945.04	0.54	9.988	13.265	8.1	211.3	100
Lngpfc	2255	18634	47347800	NA	0.115	0.162	0.048	0.63	29621.96	0.48	10.127	13.136	8.1	250	100
