name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
control	97	760	9231808	NA	0.122	NA	0.01	0.27	2530.67	0.17	16.163	26.089	20	100	20
Lila	3067	22918	141337378	NA	0.106	NA	0.022	0.61	85730.05	0.32	14.78	27.952	19.81	10000	20
