name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
If.Wikipedia.is.useful.to.you,	4057	6497	6031400	0.712	0.487	0.708	0.673	8.83	53273.46	6.61	9.821	13.131	8.19	500	3
If.you.use.Wikipedia.to.answer.your.questions,.satisfy.your.curiosity,.or.settle.a.bet,	4237	6605	5998500	0.727	0.496	0.728	0.706	9.08	54453.1	6.87	9.725	12.852	8.19	300	3
