"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_1205201_use","If.Wikipedia.is.useful.to.you,",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1205201_useCnt_enYY.png",NA,NA,"B13_1205201_use"
"B13_1205201_use","If.you.use.Wikipedia.to.answer.your.questions,.satisfy.your.curiosity,.or.settle.a.bet,",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_1205201_useUse_enYY.png",NA,NA,"B13_1205201_use"
