name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
longer.message.(with.highlight)	462	798	602300	0.519	NA	0.626	0.767	5.32	3207	5.32	6.942	6.942	5	20	3
short.message	116	258	579700	0.415	NA	0.482	0.2	2.32	1345	2.1	10.474	11.595	10	30	5
