name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
green	67	135	1974784	NA	0.5	NA	0.034	1.01	1990	0.56	16.567	29.701	20	200	10
yellow	73	140	1973665	NA	0.47	NA	0.037	1.07	2106	0.6	16.178	28.849	20	200	10
