name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Control	601	955	1033400	0.7	0.526	0.72	0.582	9.02	9320.85	6.08	10.451	15.509	10	500	3
Slider.style.form	545	1043	1016100	0.538	0.431	0.646	0.536	6.88	6987	5.11	9.527	12.82	10	100	3
