"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_121022_sld","Control",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_121022_sldNl_enUS.png",NA,NA,"B13_121022_sld"
"B13_121022_sld","Slider.style.form",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_121022_sldSl_enYY.png",NA,NA,"B13_121022_sld"
