"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_0726_frm","Funky.colors",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_0726_frm_aquarius_dr_enYY.png",NA,NA,"B13_0726_frm"
"B13_0726_frm","Goldenrod.color",NA,"http://wikitoy.s3.amazonaws.com/screenshots/B13_0726_frm_control_dr_enYY.png",NA,NA,"B13_0726_frm"
