"test_id","value","campaign","screenshot","extra.screenshot.1","extra.screenshot.2","testname"
"1369210719","$10,.$20,.$35",NA,"http://dumps.wikimedia.org/fundraising/screenshots/2010/Big%20Reporting%20Landing%20Page%20Screen%20Shots/WMFJA036%3aen%3aUS%20-%20Wikimedia%20Foundation_1297104329285.png",NA,NA,"1369210719askamount"
"1369210719","$10,.$20,.$35",NA,"http://dumps.wikimedia.org/fundraising/screenshots/2010/Big%20Reporting%20Landing%20Page%20Screen%20Shots/WMFJA047%3aen%3aUS%20-%20Wikimedia%20Foundation_1297104342436.png",NA,NA,"1369210719askamount"
"1369210719","$20,.$35,.$50",NA,"http://dumps.wikimedia.org/fundraising/screenshots/2010/Big%20Reporting%20Landing%20Page%20Screen%20Shots/WMFJA048%3aen%3aUS%20-%20Wikimedia%20Foundation_1297104386147.png",NA,NA,"1369210719askamount"
