name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Jimmy	223	296	682613	NA	0.686	NA	0.327	8.84	6031.5	4.27	13.078	27.047	20	1000	5
Wikipedia	183	250	580976	NA	0.653	NA	0.315	6.41	3725	3.91	12.404	20.355	10	150	5
