name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
medium	499	717	1908391	NA	0.596	NA	0.262	5.93	11314	4.24	16.2	22.673	20	120	20
skinny	506	765	1909181	NA	0.547	NA	0.265	7.15	13653	4.33	16.34	26.982	20	250	20
