name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
$5.3.line,.please.help	282	383	1271632	NA	0.681	NA	0.222	4.27	5427	2.53	11.387	19.245	10	250	5
How.much.would.you.donate.w/.small.text	59	109	1252675	NA	0.5	NA	0.047	1.77	2220	0.85	17.966	37.627	20	150	20
