"test_id","value","campaign","screenshot","extra_screenshot_1","extra_screenshot_2","testname"
"B13_0725_trn_nd_es","Control.(spanish)",NA,"http://i.imgur.com/kPlfKot.png",NA,NA,"B13_0725_trn_nd_es"
"B13_0725_trn_nd_es","Now.is.the.time.(spanish)",NA,"http://i.imgur.com/PEnkND2.png",NA,NA,"B13_0725_trn_nd_es"
