name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Control.(spanish)	2150	20822	41004200	NA	0.089	0.132	0.052	0.64	26380.96	0.48	9.213	12.27	7.71	950.92	100
Now.is.the.time.(spanish)	2122	20421	37161000	NA	0.087	0.135	0.057	0.67	24741.27	0.51	9.008	11.659	7.705	194.2	100
