"test_id","value","campaign","screenshot","extra.screenshot.1","extra.screenshot.2","testname"
"1369230591","20101208_SA001D_US",NA,"http://dumps.wikimedia.org/fundraising/screenshots/2010/Screen%20Shots%20%26%20Fundraiser%20Graphics/Big%20Reporting%20Banner%20Screen%20Shots/20101208_SA001D_US.png",NA,NA,"1369230591banner"
"1369230591","2010_JA1_Banner3_Control_US",NA,"http://dumps.wikimedia.org/fundraising/screenshots/2010/Screen%20Shots%20%26%20Fundraiser%20Graphics/Big%20Reporting%20Banner%20Screen%20Shots/2010_JA1_Banner3_Control_US.png",NA,NA,"1369230591banner"
