name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Cntrl	1568	2540	2443500	NA	0.341	NA	0.642	10.71	26164	7.4	11.534	16.686	13	130.74	10
Dblin	1263	2078	2504300	NA	0.304	NA	0.504	7.17	17959.54	5.28	10.476	14.22	6.54	130.74	10
