name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
black	56	71	223100	NA	0.714	NA	0.251	10.02	2236	3.18	12.679	39.929	10	1000	10
lightblue	25	39	228400	NA	0.368	NA	0.11	1.54	352	1.3	11.88	14.08	10	50	5
