name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
google	192	344	20286	NA	0.473	NA	9.465	233.07	4728	134.97	14.26	24.625	10	500	10
wonder	203	355	20445	NA	0.494	NA	9.929	237.49	4855.5	147.25	14.83	23.919	20	150	10
