name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
black	1577	6977	42929636	NA	0.16	NA	0.037	0.94	40228.79	0.61	16.738	25.51	20	489.86	20
blue	1520	6613	43282674	NA	0.179	NA	0.035	0.98	42587.15	0.61	17.34	28.018	20	1000	20
