name	dons	clicks	imps	amazon%	cc%	paypal%	don/Kimps	$/Kimps	amount	amount20/Kimps	avg20	mean	median	max	mode
Blue	387	524	962900	NA	0.624	NA	0.402	7.85	7556	5.16	12.84	19.525	10	250	5
Green	358	474	954400	NA	0.669	NA	0.375	6.9	6589.95	4.65	12.397	18.408	10	250	5
